guid,name,city,state,avgStars,long,lat,open,reviewCnt
rncjoVoEFUJGCUoC1JgnUA,Peoria Income Tax Service,Peoria,AZ,5.0,-112.241596,33.581867,true,3
0FNFSzCFP_rGUoJx8W7tJg,Bike Doctor,Phoenix,AZ,5.0,-112.105933,33.604054,true,5
3f_lyB6vFK48ukH6ScvLHg,Valley Permaculture Alliance,Phoenix,AZ,5.0,-112.0739333,33.4605258,true,4
usAsSV36QmUej8--yvN-dg,Food City,Phoenix,AZ,3.5,-112.0853773,33.3922099,true,5
PzOqRohWw7F7YEPBz6AubA,Hot Bagels & Deli,Glendale Az,AZ,3.5,-112.200264,33.712797,true,14
gtQzAiy7D-dPU8WzT3jX3Q,Barney's New York Co-op,Glendale,CA,4.5,-112.481632232666,33.6077660588006,true,6
FrBCYtCS_jydDjg1KsIgWQ,Zia Record Exchange,Phoenix,AZ,3.5,-112.0987501,33.5096582,true,21
yaXAD-Mv2K2PEZobmqjIYA,Reflections Bingo,Phoenix,AZ,5.0,-112.132866,33.551903,true,4
o3ehs4ZEdsizbJyB9_j7uQ,Jam,Scottsdale,AZ,5.0,-111.9312992,33.492195,true,14
qarobAbxGSHI7ygf1f7a_Q,Jersey Mike's Subs,Gilbert,AZ,3.5,-111.8120071,33.3788385,true,10
C1xciP65n4t4R1Q4h1zOHw,Fender Musical Instruments Corporation,Scottsdale,AZ,4.5,-111.8887889,33.5135194,true,4
gA5CuBxF-0CnOpGnryWJdQ,La Paloma Mexican Food,Phoenix,AZ,4.0,-112.0813612,33.480105,true,5
acaBJcFEKPmmSDIO6c-ZGQ,Basha's,Goodyear,AZ,3.0,-112.3920218,33.468815,true,3
JxVGJ9Nly2FFIs_WpJvkug,Sauce,Scottsdale,AZ,4.0,-111.926272,33.6174589,true,55
9iLiMm3Z9nepRDu1AhgEoQ,Windmill Inns & Suites,Chandler,AZ,4.5,-111.9032256,33.3054266,true,7
G2Re2E5Jkv_UF1xrenSsDg,Macy's,Phoenix,AZ,4.0,-111.9820907,33.5993236,true,11
8lTdJA9GK59-NzJwleSJBQ,Clearly Professional Window Cleaning,Tempe,AZ,5.0,-111.931256,33.3503,true,12
Jj7bcQ6NDfKoz4TXwvYfMg,Fuddruckers,Phoenix,AZ,4.0,-112.116243,33.566989,true,23
OMXAkiWyKz0AM6PwwuP38Q,Sur La Table,Chandler,AZ,4.0,-111.964138,33.317906,true,15
K0v87iFgB3sXSzw6e-BJ5w,AZ Wine Company,Carefree,AZ,4.5,-111.9229042,33.8242305,true,8
jcQgDviuCuJLJWjYoTy9MA,Rocket Rooter Plumbing and Drain Service,Mesa,AZ,5.0,-111.5468301,33.519545,true,4
QL3vFMAsEHqfi1KGH-4igg,Red Bar,Scottsdale,AZ,3.0,-111.924226,33.49447,false,11
yOYFhiTjT-SM4spKtDk92w,China Chan Restaurant,Phoenix,AZ,3.5,-112.120516,33.5803589,false,42
4IAzFJ159GEaIGX1-y6Bmw,McDonald's,Scottsdale,AZ,2.5,-111.881625,33.581867,true,3
s02x9kPbZii-uw1x0Oyy6w,Target Stores,Scottsdale,AZ,3.5,-111.9257696,33.7801176,true,5
e9JhcYEgNbRL8i8CTdQO2w,Kierland Commons,Scottsdale,AZ,4.5,-111.930343,33.624638,true,54
MLAnvEcvDfOWELHUN_0xEw,Nimbus American Bistro N' Brewery,Scottsdale,AZ,3.0,-111.9641728,33.5388471,false,85
BtKwRZRMyTIi9BRFk-75sQ,Foothills Park,Glendale,AZ,4.0,-112.179572582245,33.6570846738415,true,15
MwIM3O0p8V_y2ttXz0_xGw,Little Tykes Pediatric Dentistry,Gilbert,AZ,3.5,-111.71703,33.285218,true,5
JHp5mJvYe6UtM_QsklR-iw,Peter Piper Pizza,Scottsdale,AZ,3.0,-111.9175425,33.4661264,true,9
O0ayL4r9AbonKwdgelBL3A,Plaza de Anaya,Tempe,AZ,5.0,-111.9470154,33.4076118,true,5
sygb2W4NRadVXiWhW8bnFQ,Sofia's Mexican Food,Gila Bend,AZ,3.5,-112.7113217,32.9482948,true,10
ECuS72VSRKpRRFToQiNQxA,Nostalgic Alley,Phoenix,AZ,5.0,-112.065449,33.503223,false,4
JvJjaTJCyUGu5SDpoJWvZg,Meatballz,Phoenix,AZ,3.0,-112.101312,33.6988429,false,9
u9b49Z4JmvbP6KTe26lyoA,Cool Cuts 4 Kids,Phoenix,AZ,4.0,-111.9820732,33.5991424,true,5
j1Ql05L7wn_8GGLj3jHkWg,Ford Robert Black Agency,Scottsdale,AZ,5.0,-111.9174842,33.4939995,true,3
507GX11jtCsVYlzaur05_w,Panda Garden,Phoenix,AZ,4.0,-111.983142,33.333182,true,27
3ic0B872Tql7dwO4YRTDCw,Charming Charlie,Phoenix,AZ,4.5,-112.1114135,33.7129657,true,15
0EE3BohGb4lxWRnHLiqNnw,Lost Dog Wash Trail,Scottsdale,AZ,4.5,-111.8134299,33.5896225,true,17
GhC1V0MRGoma3MP0Gn28Fw,Ruby's Diner,Chandler,AZ,4.5,-111.897553,33.305681,false,3
pvJuii1d2CTQd9BF3gT_Sg,College Times,Tempe,AZ,4.5,-111.9360171,33.3928523,true,3
-nPwp-pg-pTEO2nqo1h_lg,AMC Arrowhead 14,Glendale,AZ,2.5,-112.225298881531,33.6424376443382,true,11
reMYkuDhLk4raAviOFtvOQ,Lenny's Burger Shop,Phoenix,AZ,4.0,-112.119087,33.597474,true,38
