guid,avgStars,reviewCount
CR2y7yEm4X035ZMzrTtN9Q,5.0,6
_9GXoHhdxc30ujPaQwh6Ew,1.0,2
8mM-nqxjg6pT04kwcjMbsw,5.0,2
Ch6CdTR2IVaVANr-RglMOg,5.0,2
NZrLmHRyiHmyT1JrfzkCOA,1.0,1
mWx5Sxt_dx-sYBZg6RgJHQ,3.79,19
hryUDaRk7FLuDAYui2oldw,3.83,207
2t6fZNLtiqsihVmeO7zggg,3.0,2
mn6F-eP5WU37b-iLTop2mQ,4.5,4
myXq7PFXkD_yfXT580SXMw,3.9,10
EMpFiVyiaMS58XsLZdS6vA,3.4,6
74Y-B-8MJhshV7aYSQ93lQ,3.4,5
34ir_XnUsrqserEuSZdGQA,3.39,83
1Aq2NzZGREMRdAkw55V7dg,2.88,8
B7XCvzvcriFc8xfIA-Wg4A,5.0,1
1aoDw1jVm5UQrVacWg0vnw,2.12,8
iH6y1T5AZZxaKpSNmvjGWw,4.75,4
2tyadgcxcaEu5LWgLdwLAQ,4.23,22
mc2glxrNAZuPnCudIaoK4Q,3.64,11
LKFo-Z93fhHHF-CkXoXvLw,3.75,4
09ZCt5inrt35zuJVtxBB5A,2.5,2
aSwY5VAO1S0uZASZlZgB3A,3.79,56
oh3BckWd5WXSANfGlnjErQ,4.5,7
y5YxcvgbQX_uVW0UtHWKxA,4.0,9
Vu29H1sy1poRld4LIL2Jqw,3.67,3
iK7I2HQ8kiyms_XuENr55w,5.0,2
QlSVps_q61IThBo489_Zyw,5.0,1
mzenirXt-7sZR2RhkhvLDQ,3.0,3
qMCT8OblN3finTvXcba-oA,3.62,16
jy94hgtLcuD0BbZ7o8KCYQ,4.5,4
8lrTKMjIJ9kt7rfVtjq3qg,5.0,3
IcSsf2QCA7T-KpdraDxTew,3.8,6
d09KNIq4YPYq1u5nVyqIUg,3.86,8
vxxNafFH_OMD5B1l231toA,5.0,1
bwPaqC08ddUoq-zminI3bw,3.17,6
LzT8mSfliJHhs68RTwQW5w,4.0,3
vAAeeV-kqabpuVr-DmtdFA,1.33,4
R75rQfzSeXzO9LVh0MFjJg,3.75,8
D_nff52rbs-OCZbVXeCqzg,5.0,1
6lyD0ZdmmYZsOMFFwOWsog,2.62,8
hqjDAPapGKJ3U4wUN1dGMA,4.33,3
iR8iTaCOjQCM-JG4qf23NQ,3.79,155
1Md7FNu_GujIwxbb9TqSqQ,3.89,18
-LmTXrlHEfLpDi34FVXNAg,4.0,9
ysZSP646Ikjb9pPKxuBurw,4.2,5
gXQ3peDz-H8mFZO_U4ys3w,4.27,30
8gIp7Emu7xBDnBjRKgkSOg,3.87,15
44302NAooinHOKKIWHDKXA,4.07,41
BDa9RGFZv9TV2lGAiuqjxQ,5.0,1
qw8n1PUrt4qBh-4eMjfv0Q,4.11,27
F2M53He6gzMb1vp3m7cKJg,4.78,10
Mcdt7tUA7jqiqCtyxXgq4g,2.0,2
q10h5nL1LnbaKMlNOfahfQ,4.33,3
CUUpi7gtqx1zojEGJ6Z5ew,3.82,407
6hvcowqr8NYug9u-Bzw8Jg,3.51,379
pjfwk6ZnCAcJAsX4V6QhpA,5.0,1
BqmMeZQD03LHJ_vibTOp2g,3.88,8
lodglSjhVGXzRUTDMoyOCg,3.14,118
vSxaLh9RCl1BJDbIt0hxww,4.0,5
yBMGCKvNXnb9Gr6VVRTHGw,1.5,2
1zKpgs-JZixiWiS8PWdj2w,5.0,3
lzHNLEvRNFN-RQFmczYNBw,4.14,15
HplYk367S1EV6uywIIK5-w,4.33,3
IwDii1N3yCTXsgs4Nm2OEQ,5.0,3
sGL10Y44CVzzKNkLVeHOEQ,3.55,11
UF4IY9O6EaVo-hS5FqMsiA,3.91,193
mmLIP0mFRbDgRjlKvJSAQw,2.5,3
j9CYALELapJci8kQ61_7Cg,4.25,5
Q9YX5k3ICwUYGkMjADSokQ,4.31,13
PyOkV3pQ1aw__O4VAWmvcw,2.33,3
F6uG2OxXVNkAhuM24n3ZGg,3.0,2
Acl3hg7RPM6tj4zkPvdz1Q,3.0,2
dYtkphUrU7S2_bjif6k2uA,3.3,267
jgOtDM_CSVHoWhlf3JxUzQ,4.33,3
rbcbqdr8hV0iv8ISMheE3A,3.81,214
ZAbccZRkyprv9jA5JIqEAw,5.0,5
1NppMyL-2RXQvHUExIjxdA,3.52,90
cMmQsFyrYBv6hIE6NffqZQ,3.81,79
eSAmN-5RAu8y1igSvz_yJw,3.95,252
VKOREbYBDBK5oaorb6j6mQ,4.13,23
LRsJbMmLXcMpZ3Fqcys0vA,3.88,8
n4RPA0Cuem4ygQxPIdLBLQ,3.91,130
qQxDnjMexrsfltQV7I1mJw,3.81,21
pYfB2Asdqg5ampdmqEjdzA,5.0,1
-aCl04VaJ4FWzo7y2diKZg,5.0,1
TGQRbUuikgzO2ARVicH1cQ,4.75,4
akmkd_2iLRrbOyPBfYLN0A,3.24,59
f72UJVOllcjgpZdOi7-gkA,3.5,7
EJeBInfAGoBiVWqXX2YTQg,4.0,3
rpMb-wEYPevvuaKLIbqrvQ,1.0,1
iIfuhtK9Pu7tLSNbxxoJfg,5.0,2
BE27SDgLqJTEjVq2p9yZDg,1.0,1
RqWIxCYG4a42mUCChgMQvA,5.0,1
IFKDDiyY-ap8DNaSCIwbZQ,3.1,32
sowwcc9gasFhwsdMgsMzrg,4.75,4
XYx6ZiTSIpbC3qm_xEm-KA,4.33,3
f_rpabHGZ4SgFZp5_jQ8KA,3.0,2
zKyJDKJwAfWGB4HKXp9snw,4.0,36
owCSYaRJEiV-kk2L2HP00A,1.0,2
uBAMd01ZtGXaHrRD6THNzg,4.33,16
JopzNRMvBxIc_M5pZfoK7Q,2.38,16
IBgAJmUpRFt7oxz0A7l80A,3.67,4
FxEau0b8pC_N7QeZNHZZtw,2.8,12
u74AsCsDA4gSOGHySJTm3w,3.56,25
2QzrMw_uWZuhPFvqie0cmg,4.0,8
6LDJDgd3bllzpeo1JzJSIw,3.25,4
z-TD7Mf07w8jdS2xbYp0Dw,5.0,5
_j70DLAT_Unc8uR_PNkp_Q,5.0,5
S7Zlol5qxWrRGX21Uqs4_A,5.0,1
ZpRbqGdmhgiENWtw_XQ4OA,1.0,1
4expbzCvfg4ZEWh8MOD9Cw,3.5,24
PXLb9RnpfSPRG4nNa1F05Q,5.0,1
J0jywlzX6xwjDqPewyv7MA,3.5,2
fM6zztYtf9W5DsXUhy941Q,3.65,71
F3kzrZd3R_z60p5mPeAT-Q,4.5,3
Lw2JfTJSlGLJa_qjoeYnbg,4.2,5
TSmeNkbRpG_8REsLeTIwnA,3.31,70
rxLztfrLaSOhwl5LTqbqzw,1.0,4
GDs9jnBBln3KhU0teNsHDQ,3.31,380
UlF9QddRCygQrmmXuwIFjg,3.87,42
K-N_hbnmYNt35J35ocjbww,3.0,1
i2srUvYyu0rX8ODt_RKG3w,1.0,1
GN-4LStZtWdAqNjwUUEvNQ,3.78,18
jv9monaBCfX84LIW5gFs2w,3.0,2
3ouCNuKrN3cw3bBZHXdcyQ,3.6,6
SfXcp7C6lzRgYBiNL6zX7w,4.27,26
kfvcQcMouoxlw4bmQebxww,3.75,4
2mQpxWifARjbp7H1rehVrQ,3.65,238
gkLF4m_BlvFRhOuh1OGgyw,5.0,1
7xp8QB-6APuFbiSdEI3-4Q,5.0,1
YyV13Qb7TL-o1rvn_b1VGA,5.0,1
Cw_f-K74pUnQs-A16itmEg,4.0,3
weBOpmQtMv8Z_L54gPs3hw,3.86,9
nVs5vkTn-rcbpVbnfl_KWw,5.0,1
Uo74EZEYjOeEfsUpdS3oiw,3.5,2
JiJSN4Ke7om8lkkllKTR5A,3.95,21
AcErO3j0GFTXbdJHbuD2-Q,3.79,47
53AZajKCKZsf-VosN8Dmeg,4.0,5
1O7mOUPJCxB6e5pdyCin4g,4.0,5
nu6xTWhL3SVrnxPgJOE73Q,1.8,7
xZJO6cRX6OHabaePvPzsXw,4.17,6
v1ntgoANp9xLxf4u5iJR4Q,5.0,2
bbVdfdqq3_XmWTxrhqPa0Q,4.0,4
oe614PyMdAayDUfWEaFUUA,3.89,88
Qo8UkUSL5y-MCw50eIACsQ,3.17,18
sXWvDlMQspjJ1zzr3cEM7Q,3.64,439
Wg4mxEGEI7Vz8VC0WCI69Q,3.62,14
fJH98Ok6ZlfBmsd0h_HaUQ,3.5,8
hkXeZdoz2uk1ZLORqYQ47w,4.12,8
tHE3AJdBju9VQ0fzbP72dw,5.0,1
O5dNmqcrCiE7FG7VS3y-Cw,3.75,28
ify3N2NjFX_sjDnslizsvw,3.85,26
oQSK7Poz3Ex95qpsv2EUcg,5.0,1
SFWaDnvJtHPD0pIru1y8wg,3.92,12
ThZw3MFhwjxU4bjeFL3Pcg,4.6,5
ZsjBAQiO5lNa_Tzlr3_FlQ,3.8,5
oFHxCaz9iIkuilTtqlzxEg,3.93,332
bzE1d8iiwkswuyjqC7r11Q,3.33,3
j0KVSX1QWLgjqVoYLjLqEA,4.0,11
RD2YHSnQCy2iSN_EGo3QdA,3.67,4
nr5-g3HCSidJ9fBoAP39jA,3.97,29
9b7HeM91XY9tIFGFVi7Y5A,3.71,8
AIvZS_tQ7y-ADNji1KM9Bg,3.0,4
iSjr5iewkapr08l5SPAi0A,1.6,7
dlcDKOOlGeQ7Cu-6tAiHYg,3.93,30
T2u4D_GmKo5KbDiXLRTcyA,3.43,15
AdNbFzW14o88wNo7dTKz6g,3.5,3
RxX5_RP3hSGpMhGY6y6OiQ,4.85,13
yf8gN_pRFE4c3zs1D72l4g,4.0,2
bWNjCQyTJttofo3dKtTTPQ,3.75,198
PyhTmEpgkP1CMGJP-bB9DA,5.0,1
4CJGQajGdc8JwFneADetcQ,3.67,1357
3sfS66tTc2BLmcU959dSsg,4.15,14
p7CS-HdINxXUVxn9Ss09VA,4.0,19
LFLqZT3zTP5nJ0kH_ydVkg,2.75,4
VbkrQcb615YaVp7bFyt5fQ,3.94,31
JK0mzJWym6AFSrw849bmrQ,4.18,11
ngU1vdwjT2lGOsdTq1JK5A,4.22,9
23zT_daU4O5VcFnajw8MTg,4.0,22
SgLoVOP_KUVQuDDI3PpkFA,3.88,17
-d12fQpJ6XhN-hPzxeStCg,5.0,1
TbZ9KAHJGtmV73thmvjygQ,4.5,2
83UjWE-VBOoOws1oI4JhfA,5.0,3
4k3-pyX966dnSMuvuBvLjA,3.85,13
eT1fp_Js2GD5Z-FIt8CC1w,5.0,2
nTFnSwqOpyj5d4IifRa8XQ,3.67,3
8Kvmut7tOYkAxa5KPBT3FA,3.5,4
vh85A2GSrIovm3W7CG4R0g,4.75,4
4QA8ilDzVnF4j__I6E4T6w,2.8,5
OIEmHXKytEoQfnOu2Ozmgw,4.75,5
out_4MBKTtOqlXlHOlXwFg,3.5,16
J-H-q2-4AyFM1ILE4MARAA,5.0,1
gQm2p1gmBPQ4f1sHxgRlbw,5.0,6
TGZknBtL5dyiuoThHSKmMg,1.0,2
GIBTgFC8amRa295ozndJIQ,4.0,2
lzutD82kSsk55M7XEId6GA,4.5,2
N56tE_bSNVAgk59avW-TFA,4.83,6
Qx6Kq92S72-tik94Hfn0UA,5.0,2
zGsGvKgD-5ZtXNzTagjbkQ,1.0,2
vz05hlteS6XvnczIInsnqw,3.73,40
umHlSGfbPXti-VOinu7fkQ,4.0,5
8McyBeTdW7D4BG87Tv41WQ,4.58,13
ew-YiTn2fJH0IyjXSltKBQ,5.0,2
g5hVihQ30Nn-XoswvlvMvQ,2.33,4
lw_Lj1XjPjOYrDIkDEcDzg,4.2,10
6dDBJ5G-C5lcuLeUAwwdvQ,4.0,1
VFcEaZC5ojcgA0RIcukggA,4.0,3
cKFd4AkPGpOkEy9zR_7O5w,3.92,13
sv6o8BdnMM8UB-KTH6N7kw,5.0,1
O8tNWUq6vPmvq2YTVD8hlA,4.12,258
F98yAgA43QQR0woD80Voaw,2.5,2
chHirosDitN1crv1thxA6w,5.0,2
ShQZSh_0Be48sy-JQOb5dg,3.67,43
jd_A8MB3M33Xy9Dd7UJ7_Q,3.7,10
Igu8LjeJunbmmsZycWZuEA,2.33,3
F5ACaWQvyUQ2HH7-YIkdkw,1.75,4
aNtYQW1GoDXlLzEsEmoR3w,1.0,1
e1a1i8aFuFeSn2dJbKycmw,3.0,1
sNek-w3xKlwit6q_JpnT7Q,3.83,23
SH9lxmHsiUxQ-2Ic7A0Bcw,4.5,5
Kc6eyirhmOH8vXBljMXDCg,2.62,10
IWCF21myBYma3Cmb_9Z8LA,3.38,9
UG4Mj3GJs4PpnFlF6z7g1Q,3.4,5
_D1zyYMjll4almoGZjBmkA,5.0,5
oYiskdGb0XYT2NjRb-s_qg,3.0,9
vtfOF92rj8kXGRlMPiprWg,3.45,100
hWM1k9RNkPH9oCcoVS1ftQ,3.74,43
15J3D1xNze1NbO2SoqAQfg,4.4,6
o99g5QZpt_wc4bk1uvEH7w,4.0,10
bgjGWDjAxqIPF7BJBUps2A,2.57,24
iY_jDdD4BrRMSYgn3tCDtQ,4.0,5
nAjxNm5aWD60h6qy2bMacQ,4.33,3
US3AZyMVZJxg_3Tzs4xoEA,2.8,15
2qHG0PbNhP2GYv5ITnSFRQ,3.0,2
nUGV1dVjO84ZI3nplRbwFQ,4.2,5
R5jIAytpLfAPwsIpsViEsQ,1.0,1
yTvUoE-kAg6l11mGkdJFJA,3.75,4
DYs-7UH4lhgjvGe4d8huvA,2.0,3
7OqeO0eqe805StjppUvUFA,3.35,68
0bf_zvgBrEOnx7TLh8dxOQ,3.63,173
JvVYWmY3xmiu5cpbsGfTaA,4.0,2
TD5LHxKwYJWkSVjxx8y2pg,2.0,2
ATlqgcQwb3XzvDnq3Lv-0A,3.72,133
MAvkqp_gDtKYU1d981XnwA,3.96,24
POPVwe5sCm-SQZVkBo8S2w,4.05,43
8D408fDn0twwIW6FZ42YWg,3.15,26
c-nW0Acxj4mbX47XSpmJPg,3.62,37
qm5xGd3d47RfLWib0ryMAg,3.83,18
6SLj8XiCdqeR_DHR2JmEdw,4.0,3
fl3mDJ62rLlKIdF39Lv8MQ,3.33,6
btv7I8PxSgF4GQFIDq4rYA,5.0,1
NdytAQjOvVt1Ro8-Z99ngw,3.86,14
-nt-buRWQvDsbXuvhole0w,2.76,34
VDay0jaCPqADA2PIYco0uw,2.0,1
pYsYs7eQ9SWqAaQS0xoRLA,3.65,412
Dw8c5RaDIvbQ16eubug6rQ,5.0,1
1u_jzMe9q3rHLUr8wb_GdA,4.81,17
UiEyQ_x2wNF6Ad8KFdoZ_A,5.0,3
_FbZ1gXZL349iiz5D8gz2Q,3.64,22
Ryy5lzNOevuI3aEc95768Q,5.0,8
SnbTDuEJZ3bvarb2L0Ykrw,3.78,9
P-lfV8cdAgEOZJkw2dJpsw,3.92,1033
cCQberZUpkXgdGtCoqTvMg,3.67,3
-hSy455NBx_lQ3SeQioq2Q,3.65,26
vewaAGn2n53naTA1a2WP_A,4.2,5
Z18eLwQq7SYPd02nPo7juA,5.0,1
xJmdrh4uEDAKf-2KjRArHg,3.4,6
uEG5uD9wMJixGWxaq34IEw,3.64,139
PESZTjx1dw1XFdZp972qbA,4.2,5
0PDyF0G9HNEkC4qT2cSQFA,3.29,8
q6wboZhfNXd9dI57ct0XIw,4.0,1
f-_7wdkiXOc9TEfa4ZJEwA,4.62,8
0w7AQaUnSQztBbt4JT9k5w,4.0,8
jfXT_8J_EQnJVa4sJ3z6hg,3.8,1314
96Re6vNVUJcozL0FEzO-Nw,4.67,3
TPxhtgj6BzpKBih2G5EHIQ,2.6,6
iP2sk2ek0sDyWJIZyU4j2g,5.0,2
d0KoBZ8tnsMzb2iG45vG-g,3.33,18
74BsmOZHUUdsvzYtGtlRiw,3.81,347
ZjP38OJwq604QnBzDxVlSA,4.14,7
mYhWH6RExfM_EpMR_uUozQ,4.25,28
uyUfGVoOwQVtpBEhVCVcbw,5.0,2
8Uuwc4VaupFWvlGRwOZ31w,3.88,26
VdL4eS8fAWCNInNtMvd-tw,2.82,17
jQcGFSO18cicLzCtjhvGBA,4.8,5
XoNSmEkutP_17dO7HLYc1Q,3.23,31
3QaC0Ljl2hWLdL_jzt6nJA,4.31,16
cRDmScDj6j_jPlyZn27bXA,2.7,11
dVXdgn9PKvSozekkyhi16Q,4.67,3
fCAuRQFkaN3UEebkfgpHUw,4.5,8
I5AcIAujn4X0fzjq-CTLBg,5.0,4
FGFYZUNgWcyBpWWH-1aauw,5.0,1
Bw9aoRUhoog-AtVnDBw_eA,4.43,7
YCaqPOlG6CfKOSXUGAKicA,2.0,2
-txH2zJSBZQHO6RWvoWXuQ,4.05,58
jmquyMQUHSuS8IQkv5PyYg,4.83,7
jyu9ThrwLGgVE1csLKR1Yw,3.77,13
6Oko6gNlXvknpF27R1FWOA,3.0,5
dDH8DGz2-PG558RHu5rWDQ,3.14,8
IwZkZmCpc2D7DslEogiBYg,4.0,1
1g-nGTPpg3_pjYbkgRI9jQ,4.0,1
x8n40c7W1MTWTTXsI2TxTw,3.9,50
tdNV2Wb0LrFpm1Yfov_Klw,3.91,357
TouZvN0GpE8Ngm8_cWOK1w,4.0,9
P1gw1GkB7Kye4LK52a9kXA,3.0,6
gQhHDBekmBHSKdQ2j5mmQg,3.15,61
nWp3eeRsjv1ol3wCt3Ry7Q,2.67,6
SZxqMdlFbidxrxjiCDzryQ,3.2,5
Fjs6c1PwzY1YbTcuAyubCQ,4.0,32
AVHseP2_PaUlCWhSsS7oKg,3.5,3
t6u29OyVPTIDI-RUlmp-WA,3.33,1790
5hOiRU4n02xNvxsfKKoznA,3.44,9
KwYxQgDFvM24DYXSVfEraA,1.0,3
i4MKtZoii8WCSq518WvIkw,4.1,60
oeQjThrGQAQIHWN2qBeERw,4.21,29
mQba83gB018LlGt51r80ZQ,3.82,106
3qgnVSizS98l5yZXGOW_sg,5.0,1
qnMSU4fQFauVQGLCotjlww,5.0,1
j2mGvnnXhp_fUxiNIoH6KQ,3.44,27
dPPa8QTRDT-6-LfRYQeIHQ,3.29,7
rUkjzVMimlyQ5n6iePQ5FQ,4.04,24
WYfVgKWdSHr8NoOEjnf8BA,3.62,174
